observation_date,CES3133600101,CES4244100001,MANEMP
1939-01-01,,,9077
1939-02-01,,,9175
1939-03-01,,,9275
1939-04-01,,,9309
1939-05-01,,,9299
1939-06-01,,,9315
1939-07-01,,,9231
1939-08-01,,,9400
1939-09-01,,,9604
1939-10-01,,,9873
1939-11-01,,,9896
1939-12-01,,,9949
1940-01-01,,,9927
1940-02-01,,,9916
1940-03-01,,,9884
1940-04-01,,,9817
1940-05-01,,,9810
1940-06-01,,,9832
1940-07-01,,,9766
1940-08-01,,,10048
1940-09-01,,,10258
1940-10-01,,,10471
1940-11-01,,,10643
1940-12-01,,,10847
1941-01-01,,,10993
1941-02-01,,,11211
1941-03-01,,,11409
1941-04-01,,,11698
1941-05-01,,,11957
1941-06-01,,,12204
1941-07-01,,,12382
1941-08-01,,,12532
1941-09-01,,,12683
1941-10-01,,,12770
1941-11-01,,,12810
1941-12-01,,,12876
1942-01-01,,,12965
1942-02-01,,,13127
1942-03-01,,,13311
1942-04-01,,,13509
1942-05-01,,,13704
1942-06-01,,,13842
1942-07-01,,,14072
1942-08-01,,,14339
1942-09-01,,,14582
1942-10-01,,,14772
1942-11-01,,,14971
1942-12-01,,,15288
1943-01-01,,,15532
1943-02-01,,,15685
1943-03-01,,,15856
1943-04-01,,,15961
1943-05-01,,,16044
1943-06-01,,,16204
1943-07-01,,,16306
1943-08-01,,,16369
1943-09-01,,,16366
1943-10-01,,,16512
1943-11-01,,,16598
1943-12-01,,,16526
1944-01-01,,,16439
1944-02-01,,,16330
1944-03-01,,,16170
1944-04-01,,,16012
1944-05-01,,,15944
1944-06-01,,,15890
1944-07-01,,,15832
1944-08-01,,,15781
1944-09-01,,,15662
1944-10-01,,,15630
1944-11-01,,,15568
1944-12-01,,,15659
1945-01-01,,,15669
1945-02-01,,,15581
1945-03-01,,,15473
1945-04-01,,,15335
1945-05-01,,,15201
1945-06-01,,,14948
1945-07-01,,,14599
1945-08-01,,,14201
1945-09-01,,,12486
1945-10-01,,,12487
1945-11-01,,,12537
1945-12-01,,,12528
1946-01-01,,,12719
1946-02-01,,,11922
1946-03-01,,,12545
1946-04-01,,,13200
1946-05-01,,,13389
1946-06-01,,,13598
1946-07-01,,,13771
1946-08-01,,,13981
1946-09-01,,,14135
1946-10-01,,,14182
1946-11-01,,,14310
1946-12-01,,,14301
1947-01-01,,,14328
1947-02-01,,,14278
1947-03-01,,,14259
1947-04-01,,,14240
1947-05-01,,,14189
1947-06-01,,,14200
1947-07-01,,,14076
1947-08-01,,,14200
1947-09-01,,,14315
1947-10-01,,,14393
1947-11-01,,,14414
1947-12-01,,,14428
1948-01-01,,,14438
1948-02-01,,,14339
1948-03-01,,,14364
1948-04-01,,,14183
1948-05-01,,,14235
1948-06-01,,,14318
1948-07-01,,,14359
1948-08-01,,,14353
1948-09-01,,,14441
1948-10-01,,,14390
1948-11-01,,,14292
1948-12-01,,,14086
1949-01-01,,,13867
1949-02-01,,,13734
1949-03-01,,,13581
1949-04-01,,,13439
1949-05-01,,,13269
1949-06-01,,,13178
1949-07-01,,,13067
1949-08-01,,,13158
1949-09-01,,,13225
1949-10-01,,,12891
1949-11-01,,,12882
1949-12-01,,,13062
1950-01-01,,,13161
1950-02-01,,,13169
1950-03-01,,,13290
1950-04-01,,,13471
1950-05-01,,,13780
1950-06-01,,,13923
1950-07-01,,,14072
1950-08-01,,,14461
1950-09-01,,,14561
1950-10-01,,,14737
1950-11-01,,,14762
1950-12-01,,,14782
1951-01-01,,,14950
1951-02-01,,,15076
1951-03-01,,,15125
1951-04-01,,,15166
1951-05-01,,,15164
1951-06-01,,,15176
1951-07-01,,,15110
1951-08-01,,,15061
1951-09-01,,,14996
1951-10-01,,,14973
1951-11-01,,,14999
1951-12-01,,,15045
1952-01-01,,,15067
1952-02-01,,,15105
1952-03-01,,,15127
1952-04-01,,,15162
1952-05-01,,,15143
1952-06-01,,,14828
1952-07-01,,,14707
1952-08-01,,,15279
1952-09-01,,,15553
1952-10-01,,,15690
1952-11-01,,,15843
1952-12-01,,,15973
1953-01-01,,,16067
1953-02-01,,,16158
1953-03-01,,,16270
1953-04-01,,,16293
1953-05-01,,,16341
1953-06-01,,,16343
1953-07-01,,,16353
1953-08-01,,,16278
1953-09-01,,,16151
1953-10-01,,,15981
1953-11-01,,,15728
1953-12-01,,,15581
1954-01-01,,,15440
1954-02-01,,,15307
1954-03-01,,,15197
1954-04-01,,,15065
1954-05-01,,,14974
1954-06-01,,,14910
1954-07-01,,,14799
1954-08-01,,,14772
1954-09-01,,,14805
1954-10-01,,,14841
1954-11-01,,,14913
1954-12-01,,,14967
1955-01-01,,,15034
1955-02-01,,,15138
1955-03-01,,,15258
1955-04-01,,,15375
1955-05-01,,,15493
1955-06-01,,,15585
1955-07-01,,,15614
1955-08-01,,,15679
1955-09-01,,,15668
1955-10-01,,,15740
1955-11-01,,,15813
1955-12-01,,,15859
1956-01-01,,,15882
1956-02-01,,,15889
1956-03-01,,,15829
